Date,Global Radiation (W/m2),Diffuse Radiation (W/m2),Cloud Cover (0-1),Outdoor_air_temperature_(degreeC),Humidity (%),Wind Speed (m/s),Wind Direction (deg)
2021-05-01 00:00:00+00:00,0.0,0.0,0.0,6.18,63.68,1.91,130.52
2021-05-01 01:00:00+00:00,0.0,0.0,0.0,5.64,67.08,1.8,159.12
2021-05-01 02:00:00+00:00,0.0,0.0,0.0,5.22,69.15,1.63,136.02
2021-05-01 03:00:00+00:00,0.0,0.0,0.0,5.01,69.55,1.8,96.4
2021-05-01 04:00:00+00:00,0.0,0.0,0.0,5.01,69.88,1.8,116.17
2021-05-01 05:00:00+00:00,0.0,0.0,0.0,4.9,70.55,1.77,120.01
2021-05-01 06:00:00+00:00,0.0,0.0,0.0,4.07,72.28,2.01,117.51
2021-05-01 07:00:00+00:00,32.55,31.38,1.0,4.18,72.67,2.05,124.36
2021-05-01 08:00:00+00:00,109.74,105.44,1.0,5.14,71.15,2.18,129.76
2021-05-01 09:00:00+00:00,200.04,195.48,1.0,6.44,66.52,1.99,137.99
2021-05-01 10:00:00+00:00,259.64,256.2,1.0,7.62,59.9,1.51,170.12
2021-05-01 11:00:00+00:00,480.25,306.27,0.6,8.79,54.17,1.53,183.7
2021-05-01 12:00:00+00:00,447.81,201.93,0.5,9.91,48.0,1.65,155.1
2021-05-01 13:00:00+00:00,232.94,227.68,1.0,9.01,49.33,1.74,170.81
2021-05-01 14:00:00+00:00,295.42,276.57,0.9,9.12,44.23,1.38,161.34
2021-05-01 15:00:00+00:00,553.99,297.34,0.5,10.6,41.27,1.25,163.77
2021-05-01 16:00:00+00:00,287.16,267.96,0.9,11.38,49.03,1.97,94.43
2021-05-01 17:00:00+00:00,391.99,229.93,0.6,11.3,39.93,1.27,154.74
2021-05-01 18:00:00+00:00,91.83,88.96,1.0,9.97,43.7,1.21,219.08
2021-05-01 19:00:00+00:00,0.0,0.0,0.0,9.47,49.27,1.34,189.62
2021-05-01 20:00:00+00:00,0.0,0.0,0.0,8.12,54.72,2.05,196.13
2021-05-01 21:00:00+00:00,0.0,0.0,0.0,6.38,61.47,1.73,219.83
2021-05-01 22:00:00+00:00,0.0,0.0,0.0,5.59,63.65,1.72,286.92
2021-05-01 23:00:00+00:00,0.0,0.0,0.0,5.05,66.23,1.49,282.46
2021-05-02 00:00:00+00:00,0.0,0.0,0.0,4.57,66.18,1.46,188.62
2021-05-02 01:00:00+00:00,0.0,0.0,0.0,4.43,68.68,1.68,159.37
2021-05-02 02:00:00+00:00,0.0,0.0,0.0,4.59,68.62,1.6,179.54
2021-05-02 03:00:00+00:00,0.0,0.0,0.0,3.97,69.37,1.61,180.0
2021-05-02 04:00:00+00:00,0.0,0.0,0.0,3.17,70.15,1.6,198.33
2021-05-02 05:00:00+00:00,0.0,0.0,0.0,2.06,70.57,1.66,248.6
2021-05-02 06:00:00+00:00,0.0,0.0,0.0,1.14,71.27,1.84,245.36
2021-05-02 07:00:00+00:00,38.25,19.24,0.5,2.02,72.03,1.73,300.66
2021-05-02 08:00:00+00:00,138.57,35.17,0.3,3.85,70.53,1.1,212.67
2021-05-02 09:00:00+00:00,286.47,57.94,0.2,6.92,63.23,1.56,110.55
2021-05-02 10:00:00+00:00,430.27,68.43,0.2,8.85,53.35,1.25,108.36
2021-05-02 11:00:00+00:00,550.17,123.01,0.2,10.38,43.55,1.41,107.42
2021-05-02 12:00:00+00:00,419.82,188.1,0.4,10.87,39.32,1.58,100.76
2021-05-02 13:00:00+00:00,532.29,256.08,0.5,12.19,33.52,1.63,100.19
2021-05-02 14:00:00+00:00,558.0,347.61,0.6,12.82,32.68,2.21,95.37
2021-05-02 15:00:00+00:00,732.81,271.01,0.4,13.68,30.53,2.2,99.75
2021-05-02 16:00:00+00:00,325.11,175.45,0.5,13.43,28.75,2.02,89.01
2021-05-02 17:00:00+00:00,239.11,227.71,1.0,13.0,30.18,2.19,109.44
2021-05-02 18:00:00+00:00,125.77,123.39,1.0,12.17,36.98,3.1,100.95
2021-05-02 19:00:00+00:00,0.0,0.0,0.0,10.95,43.87,2.03,117.99
2021-05-02 20:00:00+00:00,0.0,0.0,0.0,10.71,44.75,1.82,100.89
2021-05-02 21:00:00+00:00,0.0,0.0,0.0,9.96,47.72,1.43,96.95
2021-05-02 22:00:00+00:00,0.0,0.0,0.0,9.39,51.2,1.37,67.47
2021-05-02 23:00:00+00:00,0.0,0.0,0.0,8.6,58.27,1.6,153.5
2021-05-03 00:00:00+00:00,0.0,0.0,0.0,7.79,62.0,1.32,115.6
2021-05-03 01:00:00+00:00,0.0,0.0,0.0,7.83,62.08,1.44,135.1
2021-05-03 02:00:00+00:00,0.0,0.0,0.0,7.56,63.07,1.58,87.35
2021-05-03 03:00:00+00:00,0.0,0.0,0.0,7.37,64.27,2.17,118.3
2021-05-03 04:00:00+00:00,0.0,0.0,0.0,7.09,66.12,2.53,165.23
2021-05-03 05:00:00+00:00,0.0,0.0,0.0,7.12,67.18,2.73,139.85
2021-05-03 06:00:00+00:00,0.0,0.0,0.0,7.04,66.8,2.46,150.79
2021-05-03 07:00:00+00:00,41.02,40.73,1.0,7.21,66.58,2.52,164.78
2021-05-03 08:00:00+00:00,139.5,127.1,0.9,7.88,64.52,2.86,201.59
2021-05-03 09:00:00+00:00,177.51,175.72,1.0,8.83,61.1,2.92,158.36
2021-05-03 10:00:00+00:00,214.22,202.51,0.9,9.41,60.83,2.96,205.18
2021-05-03 11:00:00+00:00,258.49,251.15,1.0,10.32,57.55,3.74,257.95
2021-05-03 12:00:00+00:00,115.12,114.26,1.0,8.78,64.18,3.44,215.18
2021-05-03 13:00:00+00:00,116.42,116.42,1.0,8.28,68.6,4.03,304.76
2021-05-03 14:00:00+00:00,94.06,93.5,1.0,7.52,71.52,4.28,291.07
2021-05-03 15:00:00+00:00,116.93,116.93,1.0,7.9,74.88,3.41,301.19
2021-05-03 16:00:00+00:00,86.55,86.38,1.0,8.87,71.28,5.0,300.36
2021-05-03 17:00:00+00:00,60.87,60.87,1.0,8.76,70.68,5.84,311.06
2021-05-03 18:00:00+00:00,42.29,41.95,1.0,8.5,74.12,6.54,308.69
2021-05-03 19:00:00+00:00,0.0,0.0,0.0,8.58,75.33,6.64,306.18
2021-05-03 20:00:00+00:00,0.0,0.0,0.0,8.96,75.5,6.17,284.19
2021-05-03 21:00:00+00:00,0.0,0.0,0.0,8.4,73.72,4.44,210.05
2021-05-03 22:00:00+00:00,0.0,0.0,0.0,8.85,72.38,4.17,248.94
2021-05-03 23:00:00+00:00,0.0,0.0,0.0,8.75,64.63,3.96,179.28
2021-05-04 00:00:00+00:00,0.0,0.0,0.0,8.49,64.7,4.02,227.38
2021-05-04 01:00:00+00:00,0.0,0.0,0.0,7.93,71.72,4.78,211.87
2021-05-04 02:00:00+00:00,0.0,0.0,0.0,8.14,74.45,4.64,145.7
2021-05-04 03:00:00+00:00,0.0,0.0,0.0,8.58,68.17,4.93,80.54
2021-05-04 04:00:00+00:00,0.0,0.0,0.0,7.65,65.15,3.44,77.81
2021-05-04 05:00:00+00:00,0.0,0.0,0.0,7.24,67.4,3.95,93.14
2021-05-04 06:00:00+00:00,0.0,0.0,0.0,6.45,64.73,4.4,83.46
2021-05-04 07:00:00+00:00,0.0,0.0,0.0,5.99,70.8,4.59,82.23
2021-05-04 08:00:00+00:00,80.1,61.28,0.8,6.15,73.57,4.69,82.85
2021-05-04 09:00:00+00:00,238.13,199.05,0.8,7.18,68.93,4.91,93.0
2021-05-04 10:00:00+00:00,247.0,238.08,1.0,7.82,66.5,4.75,99.3
2021-05-04 11:00:00+00:00,385.06,335.38,0.9,8.57,62.07,5.52,110.35
2021-05-04 12:00:00+00:00,519.1,370.54,0.7,9.52,57.32,5.19,104.75
2021-05-04 13:00:00+00:00,424.4,333.35,0.8,9.88,54.78,4.72,108.21
2021-05-04 14:00:00+00:00,385.34,364.41,0.9,9.3,58.63,4.33,102.77
2021-05-04 15:00:00+00:00,414.23,393.75,1.0,9.29,60.55,4.54,105.75
2021-05-04 16:00:00+00:00,434.94,274.16,0.6,9.28,60.28,4.35,99.61
2021-05-04 17:00:00+00:00,302.36,285.48,0.9,8.8,59.13,4.43,105.16
2021-05-04 18:00:00+00:00,300.52,154.46,0.5,8.61,58.88,3.88,102.94
2021-05-04 19:00:00+00:00,0.0,0.0,0.0,8.31,56.8,3.52,109.84
2021-05-04 20:00:00+00:00,0.0,0.0,0.0,8.11,54.97,3.4,121.34
2021-05-04 21:00:00+00:00,0.0,0.0,0.0,6.26,62.85,3.01,141.23
2021-05-04 22:00:00+00:00,0.0,0.0,0.0,4.67,71.85,3.41,114.95
2021-05-04 23:00:00+00:00,0.0,0.0,0.0,4.41,74.68,3.0,100.9
2021-05-05 00:00:00+00:00,0.0,0.0,0.0,4.55,75.2,3.03,125.21
2021-05-05 01:00:00+00:00,0.0,0.0,0.0,4.5,76.15,2.48,103.06
2021-05-05 02:00:00+00:00,0.0,0.0,0.0,4.46,74.93,2.68,96.12
2021-05-05 03:00:00+00:00,0.0,0.0,0.0,3.96,74.3,2.6,91.4
2021-05-05 04:00:00+00:00,0.0,0.0,0.0,3.91,75.73,2.98,86.2
2021-05-05 05:00:00+00:00,0.0,0.0,0.0,3.35,75.63,3.22,80.25
